name,description,difficulty,type,image_url,muscles_stretched,muscles_strengthened,muscle_action,prerequisites,tags,url
Donkey Kicks,"Donkey kicks are a great way to actively stretch your quads - instead of using our arms or a strap to pull our heel toward our butt, we contract our hamstrings to move through the range of motion. Start kneeling on all fours, with hands underneath shoulders. Extend one leg behind you, trying to lift the leg to hip height. Don’t let your back arch as you lift your leg, try to keep your spine in a neutral position Keeping your knee lifted at hip height, bend the lifted knee, squeezing your heel towards your butt. You’ll feel a contraction in the back of your thigh (in your hamstrings), and a stretch in the front of your thigh (in your quads), then extend that leg back out straight. That’s one rep. Repeat for 8-12 reps. Don’t lift the knee as high. Keeping the knee closer to the floor will still stretch 3 of your 4 quad muscles just the same as if the knee is lifted higher (just the rectus femoris will get an easier stretch). Lift the knee higher than hip height (but still without arching your back). This will put you into hip extension which gives you a stretch in your hip flexors, and will be more challenging for your rectus femoris , the quad muscle that crosses your hip joint and your knee.",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/639125c9aa128f56afc85448/1670880620298/Donkey+Kicks+-+Thumb.png?format=1500w,"Quads, Hip Flexors",n/a,Knee extension; Hip flexion,,"Active Quad Stretch - Hamstrings, Active Quad Stretch",https://www.daniwinksflexibility.com/flexopedia/donkey-kicks
Downward Dog,"Downward Facing Dog (aka Down Dog) is a great stretch for your hamstrings, glutes, calves, and even shoulders. While it’s often recommended for beginners (and extremely common in most yoga flows), a “beginner friendly” downward dog looks a bit different than the traditional straight-legged-heels-on-the-floor down dog most people envision. How far apart your feet are from your hands is a bit of a personal preference - a good guestimate to set up the pose is to start in a plank with your toes and/or knees on the floor, and hands under your shoulders, then to push into your hands to lift your hips and press them back towards your feet. Bend your knees so that you can flatten your back and lift your tailbone and “sits” bones (the bony parts of the bottom of your pelvis) up towards the sky - this is going to help us get a safer hamstring stretch without putting too much pressure on our lower back. Aim to have a straight line from your wrists to your shoulders to hips. You should be feeling a stretch in your legs in the back of your thighs (hamstrings), and back of the lower leg (calves). For your shoulders , press your hands strongly into the floor and let your shoulder blades shrug up your back towards your neck. Actively wrap the outside of your armpits down towards the floor, helping hug your shoulderblades to the sides of your chest. This will help give our shoulders more space to stretch, and prevent accidentally pinching a nerve. Hold for 15-30 seconds. Bend your knees more. The more you bend your knees, the easier it is to keep good form in this stretch, and the gentler the hamstring stretch becomes. Walk your dog by bending one knee a bit more, then the other. Slowly pedaling out your legs adds some gentle movement to the stretch which can help lessen the intensity as you move. Place support under your heels. If this feels like a crazy intense stretch in your calves, and actively keeping your heels lifted is challenging, you can place a yoga block under each heel",All Levels,Static Passive,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/639124da915fc53af015f9b2/1675876793443/Downward+Dog+-+Thumb.png?format=1500w,"Hamstrings, Glutes",n/a,Hip extension; Knee flexion; Hip external rotation,none,"Passive Hamstring Stretch, Passive Calf Stretch",https://www.daniwinksflexibility.com/flexopedia/downward-dog
Downward Dog Shoulder Shrugs,"Similar to Dolphin Shoulder Shrugs , this drill strengthens the muscles that help elevate our shoulder blades up our back, while maintaining shoulder flexion (overhead shoulder flexibility) and shoulder external rotation - all things we need to be strong in arms-overhead positions like backbends and handstands. P.S. if you have a handstand coach that keeps telling your to “shrug your shoulder to your ears” in your handstands - this drill can be a big help! Start in a Downward Dog (knees bent and heels lifted is totally OK) with your arms straight, trying to make a straight line (or as close to one as you can) from your wrists to your shoulders to your hips. Externally rotate your shoulders by wrapping the outside of your armpits towards the front of your chest. You’ll know if you’ve rotated the upper arms enough if when you bend your elbows, the elbows point more towards the floor instead of out to the sides. If you can’t get those elbows to point towards the floor, try Dolphin Shoulder Shrug instead. Keeping your shoulder blades wrapped towards the sides of your ribs (outer armpits wrapping towards the floor), push into your hands to shrug your shoulder blades up towards your ears to push the floor awau. Then relax those shrug muscles, and try to pull your shoulder blades down the sides of your back towards your hips - this should lower your head just a tiny bit towards the floor. Note: this won’t be a big movement, just about an inch. Repeat for 5-12 shoulder shrugs. Swap the straight arms for bent elbows and work on your Dolphin Shoulder Shrugs instead. Do these with a microbend between your elbows, hugging a yoga block between your elbows to maintain even more rotating through the upper arm. Only bend your elbows as much as you need to to maintain them pointing towards the floor. Elevate your feet to lift your hips higher, sending more weight into your shoulders. Do these shoulder shrugs in a handstand against the wall.",Intermediate,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6436b8879a128349c97e1939/1706555225413/Downward+Dog+Shoulder+Shrugs.png?format=1500w,Shoulder,n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,Can comfortably hold a downward dog with wrists in line with shoulders & hips,"Active Shoulder Stretch - Flexion, Active Shoulder Stretch - External Rotation, Shoulder Stretch - Miscellaneous",https://www.daniwinksflexibility.com/flexopedia/downward-dog-shoulder-shrugs
Eagle Arms,"Range of Motion Stretched: Shoulder Protraction Eagle Arms is a great stretch for the muscles in your upper back between your shoulder blades, but it requires a decent amount of shoulder external rotation in order to pretzel your arms together. For students who can’t quite get this bind, I suggest swapping it for an Alligator Arms Hug instead - which gets a similar shoulder stretch, but without the crazy bind. Lift your right elbow out in front of your body, elbow bent 90 degrees, fingers pointing up towards the ceiling. Swoop your left arm around underneath the first arm, and reach the left fingers back to try to grab onto your right wrist or palm. Keeping your bind (don’t let the hands slip apart), lift the elbows up to shoulder height, then push your elbows away from your chest, puffing out your upper back. This will help slide your shoulder blades away from each other, bringing them forwards towards the sides of your ribs, stretching out the muscles between your shoulder blades. Hold for 20-30 seconds, then swap your arm wrap so the other arm is on top. Skip the bind - just bring both elbows, forearms, and palms to touch in front of the body, and try to lift the elbows up to shoulder height Make it harder: Reach your bound hands forwards , away from your face Lift your elbows a bit higher , between shoulder and chin height",Intermediate,Passive Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6436b34f39bd1006e1071c8e/1681318897314/Eagle+Arms.png?format=1500w,Shoulder,n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,Can bring elbows in front of body at shoulder height and completely press forearms against each other (fingers pointing towards the ceiling),Shoulder Stretch - Miscellaneous,https://www.daniwinksflexibility.com/flexopedia/eagle-arms
Ear to Shoulder Stretch,"Aside from helping with shoulder and neck flexibility, this is just a nice feel-good stretch to throw in if you tend to have slouchy posture or habitually hike your shoulders up towards your ears. Extend one arm down by your side, actively reaching down with your hand to help pull your shoulder blade down your back (you can do this with a flat palm by pressing your palm down, but if that gives you finger tingles, flatten your wrist and reach your fingertips down, or make a fist and punch your knuckles down). Continuing to actively reach your hand towards the floor, tilt your head to the opposite shoulder, feeling a stretch in the side of your neck. You can experiment with trying to adjust the angle of the “reaching arm” and your body, trying it with the arm super close to your side, a little farther away from your side, or starting to lift away from your side body so it’s closer to 45 degrees (or farther away) from your side body. Hold this stretch for 20-30 seconds. Lean your head less. Keep it gentle! Keep your wrist neutral . Instead of pushing your flat palm, keep your palm facing your side and reach with your fingertips (this makes it less intense on some of the nerves that run through our shoulder) Place a hand on the side of your head to add some bodyweight to the stretch . There’s no need to press with the hand, simply letting the weight of your free arm sink into your head will pull your neck into a deeper stretch. Add some arm/shoulder rotations. Keeping your “reaching arm” straight, rotate your palm away in one direction, and then the other, rotating from the upper arm and shoulder (as if an axis was going through your entire arm). You might notice a differently rotated position feels like a more challenging stretch!",All Levels,Passive Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63f62b888afee6732c59db81/1677503619703/Ear+to+Shoulder+Stretch.png?format=1500w,"Shoulder, Neck",n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion; Neck flexion/extension/rotation,none,"Shoulder Stretch - Miscellaneous, Neck Stretch",https://www.daniwinksflexibility.com/flexopedia/ear-to-shoulder-stretch
Fire Hydrants,"Along with other hip abduction exercises like Spidermans , I love glute strengtheners like these to prepare hips for open-hip positions like straddle and middle splits. Strengthening our glutes in this hips-flexed position helps us build the strength and control to open our legs wider in middle splits. Start in a tabletop position, kneeling with hands on the floor underneath your shoulders. Keeping both hip bones pointing towards the floor (they’re going to want to tilt!), lift one knee out to the side. Make sure the hip bone doesn’t lift along with the leg, only the leg should be moving. (Ironically that means - despite this exercise being called “fire hydrants” - if you were a dog you should stay peeing down on the ground by the base knee, not actually out to the side on an imaginary fire hydrant). Hold for just a moment, then drop the knee back down toward the floor. That’s one rep. Repeat for 8-12 reps. Place a block under the base knee (the leg that’s not moving). While this doesn’t technically change the range of motion at all, it can feel easier to lift the working leg Hold the leg elevated in the air for a second or two before dropping it back to it’s starting position.",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63912aac357bb508bbffbe5c/1671119643050/Fire+Hydrants+-+Thumb.png?format=1500w,Adductors,n/a,Hip adduction,none,Active Adductor Stretch - Glutes,https://www.daniwinksflexibility.com/flexopedia/fire-hydrants
Fire Hydrants with Foot Drop,"This variation of the fire hydrant glute strengthener adds a challenge of also working our hip external rotation . Hip external rotation is critical for helping keep our pelvis in the proper position in middle splits, and allowing it to rotate forwards in our straddle pancakes. Our hip external rotators are also stabilizers that we want to be strong and able to fire in other hip positions as well (even when we aren’t actively trying to rotate our thighs), like in front splits. Start in a tabletop position, kneeling with hands on the floor underneath your shoulders. Keeping both hip bones pointing towards the floor, lift one knee out to the side. Make sure the hip bone doesn’t lift along with the leg, only the leg should be moving (your hips are going to want to tilt/lift, your challenge is to keep them level.) Once the knee is lifted out to the side, keeping your knee lifted, rotate your thigh towards the ceiling, dropping your foot towards the floor (your foot may or may not actually touch the floor). Rotate the thigh back to neutral (facing forwards) then drop the knee back to the floor. That’s one rep (lifting the knee, rotating and un-rotating the thigh, dropping the knee). Repeat for 8-12 reps. Place a block under the base knee (the leg that’s not moving). While this doesn’t technically change the range of motion at all, it can feel easier to lift the working leg Hold the externally rotated leg position for a second or two before un-rotating the thigh and dropping the leg back to the starting position. Add a resistance band around your thighs by your knees.",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63979ff1ccf4f145becdfcb0/1671319545592/fire+hydrant+with+external+hip+rotation.png?format=1500w,Adductors,Hip External Rotators,Hip adduction; Hip flexion; Hip extension; Hip rotation,none,"Active Adductor Stretch - Glutes, Active Hip External Rotation",https://www.daniwinksflexibility.com/flexopedia/fire-hydrants-with-foot-drop
Floaty Birds,"Ranges of Motion Trained: Back extension, shoulder circumduction This is a variation of back extension that I use with my contortion students - but you don’t have to be a contortionist to benefit from working on this range of movement! Even if your “floaty bird” is super low to the ground, this can be a great strengthener for your active back and shoulder flexibility. That said, this exercise is challenging. It was the one we always groaned about when it came up in our warm up in contortion class (shoutout to Esh Circus Arts in Boston, and all my fond contortion memories from that school!) Start lying on your stomach, legs about hip-width apart, and arms reaching overhead on the floor. Keeping your legs on the floor (don’t let them float up), lift your chest and your arms off the floor - still reaching the arms forwards. If you are very backbendy, engage your transverse abdominus by sucking your belly button in towards your spine (this will help take some pressure out of your low back if you end up backbending quite far). Once you’ve lifted the chest as high as you can, “float” your arms up and back - trying to reach your hands up towards the ceiling, and then back towards your feet (not just straight back in one motion). If you can, try to lift the chest a smidge higher when your hands reach back toward your feet. Float your hands back to the front by reaching them up towards the ceiling as you bring them back forwards. Lower your chest to the ground. Contemplate why you chose to do such a challenging exercise. Then try to do a couple more, aiming for 4-12 reps. Keep it low! Seriously, don’t worry about how high your lifting. I know this exercise is hard. As long as you’re feeling a squeeze in your erectors (back muscles), then you’re golden! Hold a long strap between your hands to turn these into strap-assisted floaty birds . Add small weights to each hand - I’m talking seriously small, like 0.5lb to 1lb.",Intermediate,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63ebfdd1d8022e385381cdf5/1676897455349/Floaty+Birds.png?format=1500w,"Back, Shoulder",n/a,Spinal extension; Shoulder retraction; Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,Feel like back extensions with the hands reaching back are too easy,"Active Back Stretch - Spinal Extension, Shoulder Stretch - Circumduction",https://www.daniwinksflexibility.com/flexopedia/floaty-birds
Forearm Cat-Cow,"Ranges of Motion Trained: Back extension, back flexion, shoulder external rotation This variation on the popular cat-cow stretch is a bit more challenging for our shoulders because our arms are pinned down in a more externally rotated shoulder position. Start in a tabletop position on hands and knees, then drop down onto your forearms, with elbows planted under your shoulders. Placing your forearms on the floor with your finger tips touching (as if your lower arms were making a V shape) is slightly easier, placing them parallel to each other will be slightly harder. Round your back: actively press your elbows into the floor, lift your chest, tuck your chin and tailbone, suck your belly button in. Hold for a moment. Then arch your back: drop your belly to the floor, lift your tailbone, lift the crown of your head. OPTIONAL shoulder engagement: squeeze your shoulder blades together towards your spine, and then try to pull the bottom of your shoulder blades down towards your hips. Hold your arched back position for a moment. Repeat, arching then rounding, for 5-10 reps total. Keep it small. Keep your hands close together, elbows wide making a “snow plow” position instead of having hands separated. Straighten your arms and do a regular cat-cow instead. Take your forearms parallel to each other. You can even place a yoga block between your hands and another between your elbows and add a slight squeeze inwards. Elevate your knees by kneeling on yoga blocks - by taking your hips higher, as you round your back you come into a more arms-overhead position, which is more challenging for our shoulders to maintain external rotation in.",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63f3732567ba5d2fb8db3009/1737826999032/Forearm+Cat-Cow.png?format=1500w,"Back, Shoulder",n/a,Spinal extension; Shoulder retraction; Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,none,"Back Stretch - Spinal Extension, Back Stretch - Spinal Flexion, Passive Shoulder Stretch - External Rotation",https://www.daniwinksflexibility.com/flexopedia/forearm-cat-cow
Forward Fold,"The classic forward fold (aka standing pike) is generally the stretch people think of when they think of touching their toes. Because the goal of this stretch is to stretch the hamstrings , it’s important to perform this stretch with a flat back . Often beginners or folks with tighter hips will round their back as they lean forwards in an attempt to reach farther - but this turns the stretch more into a back stretch, and less of a hip stretch. So if your goal is to stretch your hamstrings, keep that back flat! This is a great video that illustrates the difference between a rounded vs. flat back forward fold. Start standing with your feet hip width apart. If you’re on the more flexible end of the spectrum, keep your knees straight, but if you’ve got tighter hips go ahead and bend your knees (bending your knees will make this stretch a bit easier) Keeping your back flat , hinge at the hips to forward fold. Your pelvis (hip bones) should rotate forwards/down towards the floor, and your tailbone should lift as you hinge. Only lean as far as you can while maintaining your flat back posture (even if that’s nowhere near a 90 degree lean). It’s OK if your knees are a bit bent. You should be feeling the stretch in the back of your thighs (hamstrings). Conversely, if you have a lot of hamstring flexibility and can bring your hands to the floor while maintaining a flat back - go for it! This is a stretch that will look vastly different on different bodies, depending on flexiblity. Hold for 20-60 seconds. Bend your knees. I mentioned this one already because it’s such a helpful adjustment for people with tighter hamstrings! Place your hands on your thighs for support. When we lean forwards, our hamstrings are getting stretched, but they’re technically also contracting a little to keep us from falling on our face. Bracing your hands against your thighs helps support the weight of your upper body, making it gentler on the hamstrings. Straighten your knees . Reach your arms out to",All Levels,Static Passive,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6388d11ca6766447ea42dfa0/1671065272809/Forward+Fold+-+Thumb.png?format=1500w,Hamstrings,n/a,Hip extension; Knee flexion,none,Passive Hamstring Stretch,https://www.daniwinksflexibility.com/flexopedia/forward-fold
Forward Fold Half Split Slides,"If you feel most of the stretch in the underside of your front leg (in your hamstrings) in a front split, then this drill is for you! This exercise helps strengthen our hamstrings through their mid and end range of motion, helping them get stronger in their stretched position. Wondering how on earth this drill can be beginner friendly? Just keep it small! Don’t worry if it doesn’t look very split-y. You’re going to want to be able to slide your foot for this exercise, so wearing socks or using sliders can be helpful. Start in a half split forward fold: from kneeling, extend one leg straight forwards, and forward fold with a flat back until you feel a stretch in the back of the front leg thigh (in your hamstrings). It can be helpful to practice with your hand on a chair or yoga blocks for balance. Keeping your flat-back forward fold, slide your front foot forwards out into your deepest version of a square front split (that means both hip bones pointing forwards). It’s OK if your hips are nowhere near the ground! If you get any knee discomfort, you can slightly bend your front knee. Once you’ve slid out into your forward fold front split, press the front foot into the ground and feel your hamstring muscles contract (you should feel extra tension in the back of your thigh) as you slide the foot back to start. You can push into your hands as much as you need to to help shift your hips back to their starting position stacked over the back knee. Repeat for 8-12 reps. Keep the forward fold small , as long as you’re feeling a stretch in your hamstrings, that’s what we want for this drill! Keep your front split shallow , don’t worry about sliding out to the deepest split humanly possible. Practice between two chairs so you can use both hands to press to help slide your front leg and hip back to start. Add a deeper forward fold. Slide out without hands. Try sliding out into your split without your hands on a chair/blocks (no support!), then bring your hands back to your suppo",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6390b12cfe87924cb92260db/1671124219253/Forward+fold+half+split+slides+-+thumb.png?format=1500w,Hamstrings,n/a,Hip extension; Knee flexion,none,Active Hamstring Stretch - Hamstrings,https://www.daniwinksflexibility.com/flexopedia/forward-fold-half-split-slides
Frogger Hip Rocks,"Muscles Strengthened: n/a * while not literally a passive drill (because we use our legs to move the hips a bit), our arms are doing most of the mobilization work, so we can consider this more passive / less strengthening Adding some gentle movement to our regular frogger stretch is not only a great way to experiment with stretching our adductors (inner thigh muscles) at a slightly different angle, but also teaches our nervous system that we have control in this position and are strong and stable enough to safely move it our end range. Start in your frogger stretch : knees bent, splayed out to the sides on the floor, knees in line with hips, ankles in line with knees, feeling a stretch in your inner thighs. Keeping your knees planted, slowly rock your hips forwards and backwards. Start small, just rocking an inch or two in each direction. If it feels good, you can start to make your rocks bigger. Rock your hips forwards and back for 15-30 seconds. Start in a narrower frogger stretch (knees closer together). Keep your hip rocks small , they don’t have to be big! Straighten one leg out to the side into your half middle split , and continue your hip rocks in that position.",All Levels,“Passive” Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63900cba2765342d6785028c/1671334771489/Frogger+Hip+Rocks+-+Thumb.png?format=1500w,Adductors,n/a,Hip adduction,none,Passive Adductor Stretch,https://www.daniwinksflexibility.com/flexopedia/frogger-hip-rocks
Frogger Stretch,"The classic frogger stretch (or simply “frog stretch”) is a common go-to inner thigh stretch. A frogger is essentially a middle split, but with knees bent - which makes it a great middle split alternative for students who find middle splits too intense or uncomfortable on their knees. Because this stretch involves supporting a considerable amount of weight in your knees on the floor, you may want to roll your yoga mat a couple of times to give your knees some extra padding (or use something else like a pillow or rolled up blanket as a cushion under each knee). From a kneeling position, open your knees out to the side. Adjust your knees so that they’re in line with your hips, and each knee is bent 90 degrees so ankles are in line with each knee (feet shouldn’t be close together). Lower your torso so that it’s parallel to the ground - that might mean resting on your hands, or if your hips are sinking lower, dropping onto elbows on a yoga block, or elbows on the floor. You should be feeling a stretch in your inner thighs. If you feel any pinching in the outside of your hips, check out this blog post. Hold this passive stretch for 20-60 seconds. Take the weight out of your knees and do your frogger stretch lying on your back. Lying on your back, open your knees out to the side (knees still in line with hips, and each knee bent 90 degrees) and hold this as your passive stretch. Extend one leg out to the side to turn your frogger into a half middle split .",All Levels,Passive Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63911ed95a98ee1aa8825790/1671066943215/frogger+stretch+-+thumb.png?format=1500w,Adductors,n/a,Hip adduction,none,Passive Adductor Stretch,https://www.daniwinksflexibility.com/flexopedia/frogger-stretch
Front Split Hip Unsquare-to-Square Slides,"If you’ve got wiggly hips that are hard to “ square ” in your front splits, this is a great drill to help your body recruit the hip (and torso) muscles involved to correct for “unsquare” hips and pull them back into a “square” position. Note: you’re going to need to be able to slide both feet on the floor for this drill. So that could mean wearing socks if you’re on carpet or hardwood floors, or using sliders. I’m actually using potholders in the video because they work great on hard floors! Start kneeling with both feet able to slide on the floor. Keeping your torso upright (don’t lean forwards!), slide your legs out into your front split. You may want blocks under your hands, or to practice next to a chair to help keep your chest lifted and support your hands. Keeping your torso lifted (shoulders should stay stacked on top of your hips), push your back foot backwards and front foot forwards , opening your hips out to the side - this is your “unsquare” or “open” split. Then try to push your back foot forwards (along with the hip), and pull the front foot backwards , twisting both hips so that they point straight forwards - this is your “square” hip position. Repeat for a total of 5-12 foot slides, opening your hips out to a diagonal, then squaring them back to the front. Slightly bend the front knee. Start with your hips higher off the ground. Instead of sliding out to your deepest front split, start in a less intense split where it’s easier to adjust your hip position. Then work on adding deepening your split over time. Take your hips past “square.” Instead of stopping with your hip bones facing forwards, continue to rotate/twist your hips towards the front leg, twisting past the neutral/square position. That means you’ll be twisting from “unsquare” to “square” to “past square” (and back).",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63fcbbfb376fed59ae2da18a/1677588631133/Front+Split+Hip+Unsquare-to-Square+Slides.png?format=1500w,"Hamstrings, Hip Flexors",n/a,Hip extension; Knee flexion; Hip flexion,none,"Active Hamstring Stretch - Hamstrings, Active Hip Flexor Stretch - Hip Flexors, Active Hip Flexor Stretch - Quads",https://www.daniwinksflexibility.com/flexopedia/front-split-hip-unsquare-to-square-slides
Full Spine Side Bend,"Ranges of Motion Trained: Back lateral flexion (sidebending) Going a bit deeper than just a thoracic side bend , this full side bend starts to go into the lower part of our thoracic spine, and even potentially into our lumbar spine (aka side bending through your upper back and lower back). Start sitting or standing. Place your left hand on your hip or outer thigh for support, reach the right arm up overhead, palm facing in. Start to lean to the left, keeping as much weight in your left hand as you need to for support. You should feel a stretch in any of the following: outer armpit (lats), outer ribs, or outer waist (obliques). Hold for 10-30 seconds. Keep it tall! You don’t have to fold completely in half to get a stretch. Experiment with adding a tiny bit of a twist , slightly rotating your chest towards the ceiling, and towards the floor, when you’re in your side bend. Notice how this may change the location/intensity of the stretch.",All Levels,Passive Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6436b4ed0e96fe0b223b6885/1681480790075/Full+Spine+Side+Bend.png?format=1500w,Back,n/a,Spinal extension; Shoulder retraction,none,Passive Back Stretch - Spinal Lateral Flexion,https://www.daniwinksflexibility.com/flexopedia/full-spine-side-bend
Good Mornings,"This is one of my go-to active flexibility drills for students looking to improve their hamstring flexibility. This drill has us lean forwards into a flat back forward fold, lengthening our hamstrings as much as possible, and then contract those hamstrings while they’re in the lengthened position, making them stronger and better able to support deeper forward fold type stretches. Start standing with feet hip-width apart, knees slightly (or if you have tight hamstrings, generously) bent, hands on your hips. Keeping your back flat, hinge at the hips, rotating the front of your hip bones towards the floor, lifting your sits bones away from the ground, as far as you can to feel a hamstring stretch. You may feel your butt drift backwards to counterbalance the weight of your upper body, that’s OK. Once you’ve leaned as far forwards as you can with a flat back (even if that’s not yet parallel to the floor), press both feet into the floor as you lift your torso back up to standing. Intentionally pushing your feet into the floor is something you need to add to help engage your hamstrings - without the “foot press” engagement, our back muscles do more of the work to lift our torso. Repeat for 8-12 reps. Don’t be afraid to bend your knees! Brace your hands against your thighs for support. Straighten your legs. Reach your arms out to the side, or overhead - this will make the “lever arm” of your upper body feel heavier, so your hamstrings will have to work harder to lift the weight. Add weight. Hold weights in your hands, or a barbell on your back to turn this into a traditional weightlifting Good Morning. But for the purposes of flexibility training, pick a weight that still allows you to go through the same range of motion that you can as before you added weight.",All Levels,Dynamic Active,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6388e2cad41d441b787a2e05/1671066019798/Good+mornings+-+thumb.png?format=1500w,Hamstrings,n/a,Hip extension; Knee flexion,none,Active Hamstring Stretch - Hamstrings,https://www.daniwinksflexibility.com/flexopedia/good-mornings-hamstring-stretch
Half Middle Split,"The half middle split or “half frogger” stretch is an intermediary stretch between a bent-knee frogger stretch and a straight-legged middle split . By straightening only one leg, we can focus better focus on the stretch in that leg, without stressing our knees as much as in a full middle split. Start in a kneeling position. Kick one leg out to the side, with the thigh, knee, and toes pointing forwards (ankle flexed). Don’t let the thigh and knee rotate up towards the ceiling (as in a straddle), they should be facing the front. Slide the straight leg out to the side until you feel a deep inner thigh stretch in the straight leg (depending on your flexibility, you might also feel a considerably stretch in the bent knee leg, that’s OK). Be careful to keep both knees in line with your hips, and not let your hips shift forwards. The end position should be one leg doing a frogger stretch (knee bent 90 degrees), and the other leg doing a middle split . If you feel any pinching in the outside of your hips, check out this blog post. Hold this passive stretch for 20-60 seconds. Physically support the knee of the straight leg with a block. You can place a yoga block on the inside of the knee, or even the inner thigh, to take weight out of the knee. Make it active. Turn it into half middle split slides . Add a block under the straight leg foot and to turn this into a half middle oversplit (only advisable if your hips are flat, or close to flat on the floor). Do a full middle split.",All Levels,Passive Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/639121997674181983c2d590/1671335467063/Half+Middle+Split+-+thumb.png?format=1500w,Adductors,n/a,Hip adduction,none,Passive Adductor Stretch,https://www.daniwinksflexibility.com/flexopedia/half-middle-split
Half Middle Split Adductor Contract-Relax (PNF),"This variation of the passive half middle split (aka half frogger) stretch works on strengthening our adductors (inner thighs) while they're in a lengthened position. Unlike half frogger slides (which also strengthen the inner thighs), this drill involves staying in the stretched position for the duration of the exercise, focusing on improving the end-range strength of our adductors. Note: there are many variations of contract-relax style stretching, including differences in the intensity of the muscle contraction, duration of contract/relax times, number of repetitions, and so on. This happens to be my preferred method, but feel free to experiment for yourself! Start in a half frogger stretch : from kneeling, extend one leg straight out to the side, with the knee and toes facing forwards (foot flexed), both knees in line with your hips. The straight leg is basically in a middle split position, and the bent knee in a frogger stretch position (hence the “half” frogger). You should be feeling a stretch in your inner thighs. For this drill, we’ll want to be in our deepest stretch our body feels safe with holding. Staying in the same position (don’t actually move), engage your inner thigh muscles by pressing the straight leg’s foot into the ground. You’ll feel both your inner thighs contract. Hold this contraction for 10 seconds. After 10 seconds of contracting, relax your legs. Stay in the stretch (don’t pop on out and take a break if you can avoid it), and hold the passive/relaxed stretch for 20 seconds. If it feels comfortable, you can try to wiggle the straight leg foot farther out to the side to sink into a deeper stretch. Repeat for another 2-3 rounds of contracting for 10 seconds then relaxing for 20 seconds, trying to sink a little deeper into the stretch each time. Start in a narrower stretch . Instead of your “max” end range stretch, slide your legs out to a position that feels like 70-80% of your maximum stretch, and strengthen that range of motion. Add a blo",All Levels,Active Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/639645ebb444712c1de6352e/1671335497325/Half+Frogger+adductor+contract-relax+-+thumb.png?format=1500w,Adductors,n/a,Hip adduction,none,Active Adductor Stretch - Adductors,https://www.daniwinksflexibility.com/flexopedia/half-middle-split-adductor-contract-relax-pnf
